country,year,CE,average_gvc,average_gvcs,average_gvcc,average_f,average_b
GRC,2011,74408.185,0.2801054712217534,0.18089799189816905,0.09920747932358437,0.1297243896545166,0.1503810815672368
GRC,2012,74804.09,0.2827958294198507,0.1764890011984472,0.10630682822140348,0.13062045466631836,0.1521753747535324
GRC,2013,67104.383,0.3010451663540985,0.1847558758373904,0.11628929051670803,0.15084856957707946,0.15019659677701905
GRC,2014,64270.517,0.31465210018281187,0.1924937389624888,0.12215836122032303,0.15675536382990127,0.15789673635291063
HRV,2000,17684.40601074301,0.45346643639105655,0.2739142409363712,0.1795521954546854,0.23717867993155742,0.21628775645949916
HRV,2001,18539.35153482661,0.47923092059587896,0.28634588447816456,0.19288503611771424,0.24991388626272573,0.22931703433315326
HRV,2002,19201.830346443498,0.4913228687340743,0.29406155622805447,0.1972613125060199,0.25094942711341195,0.24037344162066235
HRV,2003,20273.560427346907,0.4872419573832112,0.2806307240955391,0.2066112332876721,0.25185610186287893,0.23538585552033225
HRV,2004,19778.057528970934,0.48840480001196684,0.2755857249428724,0.2128190750690943,0.2538971831716054,0.2345076168403614
HRV,2005,20054.51982916246,0.4863146362070552,0.27007826683657454,0.21623636937048052,0.25045563592945647,0.23585900027759873
HRV,2006,20271.189793611233,0.48849182455275303,0.26266387457130363,0.22582794998144942,0.24798751873494984,0.2405043058178032
HRV,2007,21795.12814337979,0.49291593103359826,0.2645498553331469,0.22836607570045137,0.2497169937639405,0.2431989372696578
HRV,2008,18164.982,0.4944537171826456,0.2665702167797128,0.22788350040293293,0.2555297149356316,0.23892400224701404
HRV,2009,16326.881000000001,0.45156014225726737,0.2574051439570484,0.1941549983002189,0.24499239943854448,0.20656774281872287
HRV,2010,15773.972,0.4744777364865785,0.2577493222300848,0.2167284142564937,0.2600597502857002,0.21441798620087835
HRV,2011,15554.54,0.4995175099257524,0.260635369049809,0.23888214087594334,0.2734960045248505,0.22602150540090188
HRV,2012,14215.640000000001,0.5094760028481548,0.26388799586938916,0.24558800697876565,0.27887078851188724,0.2306052143362675
HRV,2013,13890.121,0.525011371771672,0.27153963020542726,0.2534717415662447,0.29296966236201716,0.2320417094096549
HRV,2014,13170.53,0.5389871653679293,0.27703519293567813,0.2619519724322513,0.30106419526563033,0.23792297010229896
HUN,2000,45856.619,0.5607406034505242,0.284764147198458,0.2759764562520661,0.25152914264643556,0.3092114608040887
HUN,2001,46547.686,0.5610023101968507,0.2833080085293809,0.2776943016674698,0.2621932479916162,0.29880906220523445
HUN,2002,44991.979,0.5330262994617816,0.2709636271362482,0.2620626723255335,0.25109295253395963,0.28193334692782196
HUN,2003,46194.808,0.5384983160409261,0.27924331889728926,0.25925499714363687,0.25235915507359696,0.28613916096732916
HUN,2004,45631.817,0.5427767151565217,0.27261232364247623,0.27016439151404553,0.2562795984483005,0.2864971167082212
HUN,2005,44893.186,0.5564945117211506,0.2675805732320339,0.2889139384891165,0.26538293919866374,0.2911115725224868
HUN,2006,45201.132999999994,0.597409055566378,0.2798545741621555,0.3175544814042225,0.28296463221134466,0.3144444233550334
HUN,2007,45654.674,0.6152633201756438,0.27969031622821816,0.33557300394742584,0.3002161251311036,0.3150471950445402
HUN,2008,44223.979,0.6137402570861364,0.28444789171431206,0.32929236537182444,0.2946317735555202,0.3191084835306163
HUN,2009,38851.762,0.6112775393030501,0.2725256714797507,0.33875186782329925,0.30279611823628494,0.30848142106676507
HUN,2010,39462.164,0.6333909078164479,0.20492241479421497,0.4284684930222329,0.3155295082863915,0.3178613995300563
HUN,2011,39076.078,0.6621441527957429,0.29611605418498865,0.3660280986107543,0.327433937055857,0.3347102157398859
HUN,2012,36104.981,0.6804944321064662,0.29032060449786234,0.3901738276086037,0.34544683567584095,0.33504759643062526
HUN,2013,34229.884,0.6940186428796239,0.2937464640371391,0.40027217884248467,0.3575758809598002,0.3364427619198236
HUN,2014,34674.186,0.6892474079670293,0.2949770568743116,0.3942703510927177,0.3470811737945471,0.34216623417248226
IDN,2000,285688.5509904909,0.32037653152931744,0.20943459921030574,0.11094193231901174,0.16633453095513068,0.15404200057418677
IDN,2001,301752.66211001895,0.3117536992216585,0.2092274769162861,0.10252622230537237,0.15663124982794924,0.15512244939370928
IDN,2002,303864.8186139234,0.28097350463292997,0.18871625779835074,0.09225724683457921,0.1448055508058542,0.1361679538270758
IDN,2003,327763.21327183174,0.26486154637256715,0.1779997329050185,0.08686181346754863,0.1446000802569704,0.12026146611559674
IDN,2004,330069.05057884887,0.2806975637278434,0.18487116745848917,0.09582639626935419,0.14516227046975883,0.13553529325808453
IDN,2005,332036.0762814812,0.2969176889802529,0.19305459772355305,0.10386309125669987,0.15129780151903713,0.14561988746121582
IDN,2006,357697.1107406723,0.2814631073206454,0.17898166454199402,0.10248144277865137,0.15038280971070256,0.13108029760994283
IDN,2007,374030.0940131351,0.27600031853134854,0.17509113280202487,0.10090918572932366,0.14491698729910282,0.1310833312322457
IDN,2008,367131.6974543932,0.2888582937458914,0.18152698612564486,0.10733130762024659,0.14392027114816974,0.14493802259772162
IDN,2009,382534.824207684,0.24283273814983766,0.15314506315938362,0.08968767499045413,0.12669753017240554,0.11613520797743215
IDN,2010,401041.4739074243,0.26622282931405855,0.16705238757381757,0.09917044174024095,0.13937802705872743,0.1268448022553311
IDN,2011,403632.4749936369,0.2777770260318107,0.1707221536085398,0.10705487242327087,0.1444137111281969,0.13336331490361378
IDN,2012,412105.2035932034,0.27109363214557547,0.1691802896136651,0.10191334253191038,0.13435139820067526,0.13674223394490023
IDN,2013,419104.76791650086,0.2702276125774775,0.16955932840024568,0.10066828417723186,0.13168569403801017,0.1385419185394674
IDN,2014,470001.18632330035,0.2677018921516866,0.1663608352547229,0.10134105689696377,0.13103375949099208,0.13666813266069452
IND,2000,910246.2731429746,0.19540644843848765,0.1371270600524957,0.05827938838599192,0.09287144243619697,0.1025350060022907
IND,2001,931226.7268348808,0.1893050368543349,0.13212494746397785,0.05718008939035696,0.08887743235974452,0.10042760449459037
IND,2002,956244.0537685076,0.20278554592055795,0.1404430670975934,0.062342478822964474,0.09816846407797691,0.10461708184258106
IND,2003,978322.2948369232,0.19669038967665675,0.1352706588494783,0.061419730827178345,0.09462192346850612,0.10206846620815066
IND,2004,1050429.5706306875,0.22669962362447074,0.15245491805621847,0.07424470556825222,0.11104253324562668,0.11565709037884406
IND,2005,1111595.3870530284,0.24499833583355868,0.1634781186606573,0.08152021717290124,0.11997885695727972,0.12501947887627896
IND,2006,1179197.8767738806,0.25884563684588235,0.17446412397637576,0.08438151286950654,0.12232879225661483,0.13651684458926755
IND,2007,1281206.8730342938,0.2614671166093975,-0.010352083406053663,0.27181920001545,0.12739288101741822,0.13407423559197928
IND,2008,1363998.632968593,0.2648896284279506,0.17786942136239586,0.08702020706555472,0.1256946075652693,0.13919502086268132
IND,2009,1538750.8481207034,0.2343448490068009,0.19315000929036968,0.04119483971643116,0.10772391401917893,0.12662093498762197
IND,2010,1629143.3823281042,0.24922898373647256,0.16846874612948506,0.08076023760698747,0.1196018019921533,0.12962718174431928
IND,2011,1710014.9600472893,0.24198644668522887,0.16072374505890194,0.08126270162632693,0.11012748333955534,0.13185896334567354
IND,2012,1816881.9574341006,0.24104020974207788,0.16311918725456448,0.07792102248751341,0.10563231318768106,0.13540789655439683
IND,2013,1871961.1767314991,0.23516519875635386,0.1563565020124393,0.07880869674391452,0.10742000940039392,0.12774518935595994
IND,2014,2041497.5634715185,0.21749130674214923,0.14543043909619183,0.07206086764595732,0.0980042920935322,0.11948701464861701
