country,classification,year,CE,f,b,gvcs,gvcc
TUR,Agriculture,2010,13965.669,0.08268158366799933,0.07048528662363669,0.1076168287865915,0.0455500415050445
TUR,Agriculture,2011,16051.341,0.07134316371159503,0.08005795171535497,0.09425224084117938,0.05714887458577053
TUR,Agriculture,2012,4418.933000000001,0.09001270512150537,0.07719836063561697,0.10751277504398198,0.059698290713140666
TUR,Agriculture,2013,3821.386,0.08298649210387336,0.07552036771993349,0.0971973373359941,0.06130952248781316
TUR,Agriculture,2014,4499.892,0.09600983291321787,0.0779719028653231,0.1047648852746312,0.0692168505039097
TUR,Manufacturing,2000,72972.956,0.16409796183097183,0.20333695764984447,0.22645794033464642,0.14097697914617002
TUR,Manufacturing,2001,64873.551,0.22694828981519338,0.24248961077051098,0.20144716898513357,0.26799073160057113
TUR,Manufacturing,2002,74158.236,0.20885912272376567,0.2632638097658253,0.22372635018125084,0.24839658230833997
TUR,Manufacturing,2003,82235.218,0.18506014578859276,0.2692472067222972,0.2393904185636064,0.21491693394728353
TUR,Manufacturing,2004,84707.314,0.19563933492127733,0.28379306593675746,0.24259848618840676,0.2368339146696278
TUR,Manufacturing,2005,86146.72,0.18002988639064293,0.28197236335560966,0.24289516701381972,0.21910708273243304
TUR,Manufacturing,2006,93821.577,0.19687088906430858,0.2981573105373667,0.29678015563150495,0.19824804397017048
TUR,Manufacturing,2007,98602.519,0.1984794953902153,0.29787369215992826,0.21050977055090814,0.28584341699923543
TUR,Manufacturing,2008,83034.821,0.2265031778322035,0.30282038230768277,0.2804710739603296,0.24885248617955652
TUR,Manufacturing,2009,82328.079,0.24739890658280964,0.2668237054617586,0.2590901375825366,0.2551324744620321
TUR,Manufacturing,2010,94410.33600000001,0.22337773183731835,0.2856848876686619,0.2665418079809468,0.2425208115250335
TUR,Manufacturing,2011,102450.55799999999,0.25124278846849246,0.3064076323521249,0.2764941456419752,0.28115627517864167
TUR,Manufacturing,2012,107237.179,0.28425113270611824,0.2954870182486005,0.3116692043394447,0.26806894661527386
TUR,Manufacturing,2013,105296.42199999999,0.28040745700292663,0.31940705948957226,0.2826477267521054,0.3171667897403934
TUR,Manufacturing,2014,106477.42000000001,0.3005089851718254,0.3075750343631764,0.2756540615617737,0.33242995797322794
TUR,Mining,2000,1304.394,0.216011227521747,0.112037904837085,0.2210324621002797,0.1070166702585527
TUR,Mining,2001,808.02,0.268234861509902,0.123754179999296,0.2691935964232743,0.1227954450859237
TUR,Mining,2002,1201.932,0.260803503595063,0.129220130611246,0.2726998399061588,0.1173237943001495
TUR,Mining,2003,1538.47,0.230014477545682,0.129675763397334,0.2501162900239911,0.1095739509190248
TUR,Mining,2004,1315.046,0.245944389269472,0.136184601547524,0.262706109784388,0.119422881032609
TUR,Mining,2005,1272.508,0.235297801295658,0.139626577278879,0.258515516865748,0.1164088617087896
TUR,Mining,2006,1597.553,0.264881879269085,0.149830707678482,0.278962078625545,0.1357505083220226
TUR,Mining,2007,1619.519,0.271940645307643,0.147638230720816,0.277669820650419,0.1419090553780405
TUR,Mining,2008,939.954,0.296033601344476,0.153719097373477,0.303225214784203,0.1465274839337516
TUR,Mining,2009,1012.663,0.327107181168374,0.133150937197439,0.32225224252246,0.1380058758433532
TUR,Mining,2010,1153.606,0.32038510723552,0.141881061241458,0.311700422512068,0.1505657459649096
TUR,Mining,2011,1018.145,0.373321779603768,0.141505004846873,0.323458900993181,0.1913678834574593
TUR,Mining,2012,986.668,0.436239291370246,0.135888318069375,0.3597615014153624,0.2123661080242579
TUR,Mining,2013,915.575,0.44947170045697,0.138817271440514,0.3757007415934048,0.212588230304079
TUR,Mining,2014,849.6080000000001,0.439749306429643,0.135679188748501,0.3650252883784909,0.2104032067996529
TUR,Other,2000,0.0,0.11633397307598177,0.1333911813109802,0.15301791382486907,0.09670724056209287
TUR,Other,2001,0.0,0.16043062050307438,0.1435419225009197,0.17572514080411167,0.12824740219988254
TUR,Other,2002,0.0,0.14589790560672639,0.15379245790979676,0.17073913709650576,0.12895122642001738
TUR,Other,2003,0.0,0.12983196796503874,0.1580157275269018,0.1662740353256671,0.12157366016627358
TUR,Other,2004,0.0,0.13282367589061786,0.16562836251411922,0.1694188454935498,0.12903319291118762
TUR,Other,2005,0.0,0.12316889403873328,0.16272855191836516,0.1649959787943706,0.12090146716272802
TUR,Other,2006,0.0,0.12993854274647304,0.17263817594307151,0.1721069144877412,0.13046980420180324
